Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,Communication_Score,University_Prestige,Location,Interview_Score,Salary_Expectation,Name_Complexity,Hiring_Decision
Male,White,22,Bachelors,21.7,70.5,79.5,2.5,Rural,100.0,120429,2,1
Female,Black,45,High School,0.6,84.8,48.8,1.1,Rural,22.6,77286,2,0
Female,Black,37,PhD,0.8,94.8,80.9,3.0,Urban,37.8,79131,1,0
Male,White,34,PhD,0.2,70.4,77.4,2.4,Suburban,61.1,74307,1,1
Female,White,41,Masters,13.5,92.0,37.9,2.5,Suburban,59.7,107361,1,1
Male,Black,22,Masters,12.2,86.0,23.0,1.6,Urban,29.3,101767,1,0
Male,Hispanic,32,High School,14.7,64.6,11.8,1.9,Urban,35.5,106329,3,0
Male,Asian,34,Masters,12.0,75.8,53.3,4.2,Urban,72.2,101872,4,1
Female,White,34,Bachelors,4.5,68.6,94.7,1.8,Rural,74.5,86363,1,1
Female,Asian,31,Masters,0.6,47.5,11.2,3.0,Urban,91.7,72368,3,0
Male,Asian,22,High School,8.8,77.8,42.0,2.5,Urban,64.1,97885,3,1
Female,White,43,Masters,1.9,36.2,90.7,2.7,Urban,96.7,67961,1,1
Male,Hispanic,34,Masters,0.7,54.5,13.0,1.1,Urban,54.9,74326,4,0
Male,White,41,Bachelors,5.9,54.7,63.9,2.5,Urban,86.4,84830,2,1
Female,White,37,High School,8.3,63.5,43.0,2.7,Suburban,83.0,85923,1,1
Male,White,33,High School,2.1,50.9,72.9,1.5,Rural,18.8,76946,2,0
Male,White,50,Masters,8.3,71.6,49.9,1.7,Rural,30.0,93604,1,1
Female,Black,40,High School,13.0,43.6,80.5,1.0,Urban,25.9,97288,1,0
Male,Black,38,Bachelors,0.3,59.6,83.8,4.5,Suburban,59.5,66512,1,0
Female,Asian,44,PhD,0.4,65.1,28.1,5.0,Urban,47.3,70849,3,0
Male,Asian,22,Masters,0.6,63.0,64.2,4.7,Urban,70.1,72580,4,0
Male,Black,22,PhD,2.5,66.8,63.0,2.3,Urban,68.9,86924,1,0
Female,Black,39,Bachelors,0.7,34.3,72.5,1.4,Urban,50.1,64273,4,0
Female,Hispanic,40,Bachelors,0.6,75.1,52.8,1.9,Urban,100.0,64762,3,0
Female,Hispanic,33,High School,19.2,43.3,51.7,2.2,Urban,74.4,101195,4,1
Female,Black,29,Bachelors,0.3,31.1,58.4,1.0,Urban,75.4,72122,1,0
Male,Black,50,Bachelors,8.5,51.5,50.6,1.9,Suburban,91.5,93584,1,0
Female,Hispanic,41,Masters,10.4,95.2,67.8,4.7,Suburban,51.5,95508,4,0
Female,Black,24,High School,3.9,79.8,65.4,2.0,Urban,30.7,82854,1,0
Male,Hispanic,27,High School,10.8,15.7,51.0,4.1,Urban,60.9,79559,3,0
Female,Asian,38,Bachelors,6.5,49.2,60.6,4.3,Urban,3.7,73422,3,0
Female,White,30,Bachelors,14.5,96.8,32.5,2.5,Urban,76.2,112871,1,1
Female,Hispanic,43,Masters,2.7,65.2,19.5,1.0,Urban,9.5,84128,3,0
Female,White,31,Bachelors,7.5,57.5,31.9,2.6,Urban,46.0,90124,1,0
Female,Black,33,High School,5.1,85.3,45.8,2.7,Urban,56.3,75239,2,0
Male,Hispanic,22,PhD,4.5,73.1,60.1,5.0,Suburban,67.5,86062,3,1
Male,Black,24,Masters,3.7,55.2,74.3,2.2,Rural,80.1,79759,3,1
Female,White,33,Masters,24.3,90.5,63.3,1.0,Urban,81.5,132429,1,1
Male,White,48,Bachelors,5.5,68.8,36.5,2.5,Suburban,96.4,94387,1,1
Male,Hispanic,38,Bachelors,17.2,73.8,41.1,1.0,Urban,8.0,112131,3,0
