Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,Communication_Score,University_Prestige,Location,Interview_Score,Salary_Expectation,Name_Complexity,Hiring_Decision
Female,Hispanic,46,Masters,1.2,72.7,33.0,2.5,Suburban,36.4,78972,3,0
Male,Hispanic,50,PhD,2.8,65.9,40.3,2.9,Urban,35.2,83047,4,0
Female,White,31,Bachelors,0.3,65.0,41.1,2.3,Suburban,33.5,74603,1,0
Male,Black,22,Bachelors,1.5,82.8,42.7,2.6,Rural,58.3,81943,2,0
Male,White,38,High School,1.5,60.2,36.9,1.4,Suburban,51.6,73101,2,0
Female,Hispanic,22,Bachelors,9.3,27.3,45.5,1.0,Suburban,39.5,85776,4,0
Female,Hispanic,26,PhD,8.7,40.5,46.3,1.0,Urban,40.5,80232,3,0
Female,Asian,25,High School,6.4,79.2,74.7,1.1,Urban,11.0,85489,3,0
Female,Asian,42,Masters,0.4,96.4,67.6,1.2,Suburban,63.2,86569,3,0
Male,Hispanic,22,PhD,2.1,56.0,22.6,1.3,Suburban,31.0,74972,3,0
Male,White,49,Masters,7.1,59.5,19.5,2.1,Urban,38.3,90550,1,1
Female,Asian,40,High School,4.3,62.7,20.3,1.4,Suburban,51.8,74239,3,0
Male,Asian,48,Bachelors,5.3,77.6,75.9,2.0,Urban,31.9,87465,4,0
Female,Black,25,Masters,0.7,92.3,65.5,2.0,Urban,55.5,74036,1,0
Male,White,48,Bachelors,25.0,88.2,82.0,1.8,Urban,60.5,138196,1,1
Male,Black,39,Bachelors,3.0,44.0,74.0,1.0,Urban,85.0,75483,1,0
Female,White,38,Bachelors,25.0,88.0,87.8,2.5,Urban,38.2,133106,1,1
Female,Asian,37,Bachelors,4.6,55.7,31.3,1.3,Urban,86.8,67224,3,0
Female,Hispanic,43,Bachelors,1.5,99.3,58.2,1.0,Urban,56.2,84194,4,0
Female,Hispanic,22,High School,6.6,50.7,32.3,1.0,Rural,19.3,79447,3,0
Female,Asian,29,Masters,0.1,77.4,100.0,1.2,Rural,89.6,71692,3,1
Female,Asian,34,Bachelors,0.3,27.0,54.8,3.4,Urban,33.3,57783,3,0
Male,White,35,Bachelors,16.3,47.2,82.8,2.4,Rural,69.1,99524,2,1
Female,Hispanic,34,Bachelors,0.9,83.9,64.5,1.9,Urban,76.7,70992,3,0
Female,White,37,High School,12.4,10.1,62.4,1.8,Urban,50.6,88868,1,0
Male,White,25,High School,13.0,77.8,41.4,1.0,Urban,68.1,100042,2,1
Female,Black,36,Bachelors,4.9,77.3,52.7,4.7,Urban,18.7,82380,2,0
Male,Hispanic,31,High School,1.8,23.5,55.7,2.0,Suburban,100.0,67987,4,0
Female,Hispanic,30,Masters,1.2,91.2,43.0,1.0,Urban,45.6,86658,3,0
Male,Asian,29,Bachelors,8.8,70.7,10.0,1.3,Urban,8.6,104878,3,0
