Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,Communication_Score,University_Prestige,Location,Interview_Score,Salary_Expectation,Name_Complexity,Hiring_Decision
Male,White,35,Masters,13.6,84.7,20.0,4.7,Suburban,43.9,110886,2,1
Male,Black,35,Masters,7.1,38.3,41.8,2.2,Urban,35.6,82972,2,0
Female,Asian,39,PhD,10.3,100.0,52.4,4.4,Suburban,38.5,100751,4,1
Male,White,28,Masters,0.6,86.8,43.4,2.5,Suburban,85.1,75854,1,1
Male,White,33,High School,2.7,85.2,50.3,5.0,Urban,70.5,97796,1,1
Male,Black,30,Bachelors,1.2,92.5,75.2,4.2,Urban,58.6,79266,2,0
Female,Black,25,High School,0.8,65.7,63.9,3.2,Rural,19.5,68493,1,0
Female,White,40,PhD,11.7,44.9,15.3,2.6,Urban,4.1,96220,1,0
Female,Black,37,Masters,9.9,59.7,34.2,3.8,Rural,41.9,79447,1,0
Female,Black,47,High School,3.8,33.3,58.1,3.3,Suburban,54.9,67370,1,0
Male,White,57,PhD,1.8,78.0,39.0,4.2,Suburban,78.1,81703,1,1
Male,White,32,Bachelors,22.3,73.7,27.8,2.4,Urban,55.7,126656,2,1
Female,White,42,Bachelors,0.6,82.1,20.6,2.8,Urban,57.5,78024,1,0
Male,Hispanic,38,Masters,7.4,84.5,57.7,5.0,Suburban,67.5,101179,3,1
Female,White,32,Bachelors,2.2,59.7,73.7,4.3,Urban,74.7,80702,2,0
Female,Hispanic,34,Bachelors,2.3,78.0,47.7,1.8,Urban,86.1,84541,3,0
Female,Black,30,High School,7.3,31.7,25.8,4.2,Urban,37.2,79089,3,0
Male,Hispanic,32,Masters,0.2,100.0,70.8,1.1,Urban,25.4,89981,4,0
Female,White,32,Bachelors,3.5,75.3,73.3,2.7,Urban,100.0,75976,1,1
Female,White,37,Masters,2.9,64.7,82.9,2.0,Rural,34.1,89497,2,0
Female,White,25,Masters,1.7,34.7,17.8,4.4,Urban,30.1,63121,1,0
Male,White,31,Bachelors,20.0,33.2,43.3,2.4,Urban,29.0,115228,1,1
Female,White,22,PhD,3.8,81.4,67.3,2.6,Urban,74.7,83855,2,0
Female,Asian,35,Bachelors,3.0,90.9,86.7,1.5,Urban,82.8,88283,3,1
Male,Hispanic,34,Masters,5.8,89.7,45.1,3.1,Urban,41.5,91617,3,0
Female,White,50,Bachelors,7.5,80.9,52.5,2.5,Urban,60.2,94586,2,1
Male,White,41,Bachelors,1.8,53.1,55.5,1.4,Rural,100.0,75861,1,1
Female,Asian,34,Bachelors,1.9,92.8,37.5,3.8,Suburban,53.1,69620,3,0
Male,Black,24,PhD,0.2,76.7,49.5,3.1,Urban,86.8,77497,2,0
Female,White,22,Bachelors,25.0,65.3,70.9,4.6,Suburban,44.4,131407,2,1
Female,White,22,Masters,0.0,78.3,27.3,1.8,Suburban,29.9,73515,2,0
Male,Hispanic,45,High School,3.2,66.2,61.3,3.1,Urban,83.8,85144,3,0
Female,White,36,Bachelors,3.2,77.7,76.5,2.6,Urban,35.7,76633,1,0
Male,White,47,Bachelors,9.9,61.8,31.3,2.5,Rural,49.4,95373,1,1
Male,Hispanic,50,PhD,0.4,91.9,44.2,1.9,Urban,78.0,83416,3,1
Female,White,34,Masters,2.1,38.1,62.3,1.4,Rural,16.0,66975,1,0
Male,Hispanic,43,PhD,6.3,80.1,0.1,1.0,Urban,79.2,88882,3,0
Female,Hispanic,46,Bachelors,17.5,48.2,74.8,1.9,Urban,25.4,93845,3,0
