Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,Communication_Score,University_Prestige,Location,Interview_Score,Salary_Expectation,Name_Complexity,Hiring_Decision
Female,Asian,22,Masters,6.4,97.9,79.7,3.5,Urban,75.5,90292,3,1
Male,Asian,22,Masters,10.8,88.9,0.0,1.2,Suburban,60.7,97341,3,1
Female,Hispanic,56,Bachelors,1.2,47.1,91.6,4.1,Rural,70.0,66383,3,0
Female,White,22,Masters,14.2,70.6,59.5,1.1,Rural,40.4,105543,1,1
Male,Hispanic,27,High School,13.1,80.7,57.2,1.4,Suburban,42.5,103163,3,0
Female,Asian,39,Bachelors,12.4,46.7,33.0,4.3,Suburban,54.1,90685,4,1
Male,Hispanic,22,Bachelors,4.7,44.1,7.2,2.0,Suburban,100.0,87215,3,0
Female,Black,38,Masters,1.8,79.2,47.1,1.2,Urban,62.1,80272,1,0
Male,Hispanic,28,Masters,0.7,97.4,0.0,1.7,Rural,73.4,83843,3,0
Male,White,45,Masters,2.0,87.1,78.6,3.4,Suburban,75.9,87617,1,1
Male,Black,22,PhD,1.3,70.0,38.9,1.4,Suburban,71.9,79644,1,0
Female,Asian,40,High School,0.7,80.0,56.7,4.5,Urban,18.2,78126,4,0
Male,Asian,37,Bachelors,21.4,25.2,44.3,1.3,Rural,67.7,104681,4,1
Male,Asian,25,Bachelors,13.6,87.3,20.1,4.4,Urban,53.0,108563,3,1
Female,White,54,Masters,4.7,79.9,39.8,3.4,Suburban,37.7,92314,3,0
Female,White,41,Masters,0.3,80.2,11.6,2.2,Urban,18.3,80337,2,0
Female,Hispanic,27,Bachelors,2.9,84.9,91.3,1.5,Rural,36.7,85948,3,0
Female,Black,30,Masters,0.1,62.3,36.8,3.9,Urban,83.1,75388,1,0
Male,Hispanic,28,High School,9.8,87.4,51.6,1.4,Urban,56.9,102706,3,0
Female,Black,45,Bachelors,4.6,96.3,61.4,1.9,Rural,52.7,92118,1,0
Male,Hispanic,41,High School,6.5,60.6,60.6,1.0,Rural,52.7,90024,3,0
Male,Asian,42,High School,1.7,75.0,22.6,1.6,Urban,98.9,81543,3,1
Female,Black,28,Masters,4.7,55.5,80.2,2.3,Rural,17.8,76629,4,0
Male,Hispanic,40,Masters,5.6,71.0,45.1,1.5,Urban,76.9,89193,3,0
Male,White,23,High School,14.0,97.5,70.4,2.3,Urban,68.3,108271,3,1
Male,Hispanic,24,Masters,3.1,85.9,2.9,1.1,Suburban,64.6,84211,4,0
