Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,Communication_Score,University_Prestige,Location,Interview_Score,Salary_Expectation,Name_Complexity,Hiring_Decision
Female,Asian,42,Masters,22.1,55.1,73.1,3.3,Suburban,33.0,113317,3,1
Female,Black,39,PhD,12.1,86.6,97.0,2.6,Urban,51.4,90999,1,1
Female,Hispanic,46,Masters,3.3,52.0,4.7,2.5,Urban,31.0,78926,3,0
Male,Hispanic,51,Masters,13.2,77.5,43.4,1.4,Urban,55.4,105314,3,1
Male,Hispanic,33,Bachelors,2.9,36.0,25.8,4.2,Urban,90.1,73024,3,0
Female,Black,43,High School,0.1,44.3,48.3,1.0,Suburban,63.0,68143,1,0
Male,Black,45,Masters,0.2,78.1,58.4,3.9,Suburban,62.6,80429,1,0
Female,White,35,Masters,3.9,100.0,86.0,2.5,Rural,30.5,104054,3,0
Female,Black,22,PhD,0.6,77.6,34.3,2.0,Suburban,52.0,79554,3,0
Female,White,44,Bachelors,17.2,88.7,90.5,2.4,Suburban,84.3,114891,4,1
Male,White,25,High School,0.1,99.6,44.9,1.6,Urban,60.0,92761,1,0
Male,Hispanic,34,High School,13.7,32.6,64.3,2.3,Urban,60.4,88740,3,1
Male,White,22,Masters,9.5,70.6,12.0,1.0,Suburban,49.4,97819,1,0
Female,White,31,Bachelors,0.8,96.0,39.6,2.0,Urban,73.0,81541,3,0
Female,Black,29,Bachelors,4.1,88.3,84.1,1.0,Urban,73.3,87651,2,0
Male,White,30,High School,5.3,84.2,90.6,2.7,Suburban,59.3,98585,1,1
Male,Hispanic,29,Masters,2.1,65.1,77.1,1.9,Urban,42.7,76379,3,0
Female,Black,30,Bachelors,12.5,90.3,88.2,1.7,Suburban,53.1,104740,2,0
Female,White,29,Bachelors,4.2,77.2,62.2,5.0,Urban,76.8,87336,1,1
Female,Black,32,Masters,19.5,80.3,35.9,1.0,Suburban,46.6,115804,1,1
Female,Hispanic,39,High School,1.2,51.0,79.9,2.8,Suburban,26.1,67434,4,0
Female,Asian,36,High School,1.1,90.5,51.0,1.0,Rural,25.1,82212,3,0
Male,Black,38,Bachelors,0.6,28.8,19.8,4.3,Urban,51.7,63203,1,0
Female,Asian,35,High School,5.4,67.8,56.9,3.5,Rural,56.6,70501,3,0
Male,Asian,27,Masters,0.5,62.1,24.1,1.1,Urban,92.3,76743,3,0
Male,Black,55,Masters,18.1,83.2,71.3,1.7,Rural,1.3,120692,1,1
Male,Hispanic,34,Bachelors,3.2,65.2,7.1,1.4,Suburban,77.9,76612,4,0
Female,Asian,22,Bachelors,14.8,35.8,5.4,1.6,Urban,87.2,84381,4,0
Female,White,31,Bachelors,8.5,77.3,36.5,3.4,Suburban,80.2,94237,1,1
Female,Hispanic,47,High School,1.5,47.1,82.8,2.8,Urban,69.1,71170,3,0
Male,White,39,Bachelors,0.6,62.0,55.1,3.3,Rural,52.8,82038,4,0
Female,White,28,Masters,4.1,97.5,57.7,4.8,Suburban,63.6,92608,1,1
Female,White,34,Masters,1.0,88.5,55.9,1.3,Urban,63.1,86021,1,0
Male,Asian,24,Bachelors,11.3,75.4,2.1,2.2,Urban,62.0,111610,4,1
Female,White,43,Bachelors,1.1,96.8,28.2,3.3,Urban,94.0,79457,1,0
Female,Black,62,High School,16.2,50.6,43.4,2.0,Urban,62.5,89713,1,0
Male,Hispanic,38,Bachelors,25.0,91.4,38.2,1.1,Suburban,61.3,129854,3,1
Male,White,33,Bachelors,3.4,52.9,27.4,3.6,Suburban,60.4,80432,1,0
Female,Hispanic,22,Bachelors,8.3,40.2,64.8,1.7,Suburban,32.7,76504,3,0
Female,Black,26,Masters,2.5,99.2,45.2,4.9,Urban,70.4,86818,2,0
Female,White,22,Bachelors,20.0,85.1,87.8,3.4,Suburban,60.3,108037,2,1
Female,White,48,Bachelors,3.8,44.9,65.3,1.1,Urban,15.6,70366,4,0
Female,Asian,34,Bachelors,0.5,52.9,29.3,1.6,Urban,79.4,65533,3,0
Female,White,37,Bachelors,0.6,94.2,85.2,1.0,Suburban,47.7,84340,2,0
Male,Asian,33,High School,0.5,28.7,29.2,1.1,Rural,78.3,71241,3,0
Female,White,28,Bachelors,5.9,64.0,82.0,1.8,Rural,71.9,77846,1,0
Male,Black,39,Masters,0.1,74.6,16.2,1.0,Urban,59.5,78382,2,0
Female,White,22,PhD,4.5,100.0,23.0,2.9,Urban,76.2,93930,2,1
Male,White,36,Bachelors,13.2,67.8,13.3,3.3,Rural,87.3,114716,1,1
Male,Hispanic,22,Masters,4.0,60.1,24.0,1.0,Rural,44.4,85251,3,0
Female,Asian,41,High School,7.9,73.5,26.2,4.3,Urban,17.0,91720,4,0
Male,Asian,44,High School,1.0,49.2,64.4,3.1,Urban,69.4,71551,4,0
Female,Black,40,Masters,10.1,84.9,79.6,4.1,Urban,44.3,95266,1,0
Female,White,31,Bachelors,8.1,33.0,7.1,5.0,Urban,78.4,80638,2,0
Female,White,26,High School,0.7,79.0,86.5,1.5,Rural,58.2,81036,1,0
Female,Hispanic,47,Bachelors,10.5,68.3,61.4,3.7,Rural,37.6,87162,4,0
Male,White,39,Bachelors,3.1,73.7,23.2,3.2,Suburban,64.4,92126,1,0
Female,White,41,Masters,0.9,94.9,56.2,2.8,Suburban,85.4,88997,1,0
Female,Asian,43,Masters,2.8,56.6,46.7,1.0,Suburban,10.3,69253,3,0
Female,Black,33,Bachelors,4.3,70.4,23.9,3.1,Urban,73.2,80998,1,0
Male,White,22,High School,0.4,30.2,63.7,3.5,Suburban,83.5,70262,1,0
Female,Hispanic,22,Masters,0.5,22.8,43.8,2.0,Urban,78.3,68726,3,0
Male,White,48,Masters,3.6,56.1,31.8,1.6,Urban,31.7,84704,1,0
Male,Asian,32,High School,2.3,66.1,68.1,2.9,Suburban,86.8,83269,4,1
Female,Black,38,High School,6.5,79.1,77.3,5.0,Suburban,44.2,80091,1,0
Male,Asian,38,Bachelors,1.0,77.4,49.1,2.5,Rural,85.5,79968,3,1
Female,Black,45,Bachelors,13.0,72.5,79.7,3.0,Urban,73.1,96834,1,1
Male,White,29,High School,1.4,81.2,12.3,1.2,Urban,100.0,86010,2,0
Male,White,31,High School,22.1,47.8,35.0,1.8,Urban,31.2,117659,1,1
Male,Black,26,High School,5.0,85.7,56.6,3.2,Suburban,50.6,97729,1,0
Male,Hispanic,32,Masters,2.8,76.6,46.4,3.0,Urban,33.4,84125,3,0
Female,Black,38,Bachelors,0.8,41.7,66.5,2.0,Urban,8.5,72196,1,0
Male,Black,35,Bachelors,0.2,90.3,12.5,1.1,Urban,32.7,83026,1,0
Male,Asian,26,High School,2.3,77.4,63.0,1.0,Urban,100.0,81218,3,1
Female,Black,37,Bachelors,0.0,96.1,100.0,3.9,Urban,71.5,75966,1,0
Male,Hispanic,50,Bachelors,5.5,85.1,18.7,2.9,Suburban,92.3,103599,3,0
Female,Hispanic,31,Masters,1.3,23.5,72.1,1.7,Rural,53.5,64111,3,0
Female,White,32,High School,10.3,82.8,33.5,3.4,Suburban,43.8,102843,1,1
Male,White,43,Bachelors,5.2,93.1,41.7,2.2,Urban,44.4,94133,4,1
Female,Black,49,Masters,0.6,27.9,42.3,1.7,Rural,75.7,57827,1,0
Female,Black,31,High School,2.5,46.1,6.4,3.0,Rural,0.9,70077,1,0
Female,Asian,35,Masters,7.0,83.5,86.3,4.0,Urban,88.7,90176,4,1
Female,White,40,Bachelors,1.3,47.1,61.0,2.2,Suburban,72.1,72384,1,0
Male,Black,32,Masters,6.8,74.6,56.3,4.4,Urban,34.2,90040,2,0
Male,White,40,Bachelors,2.9,19.7,49.7,3.2,Rural,100.0,61514,1,0
Male,Black,39,PhD,15.0,48.0,13.0,1.3,Urban,53.9,93654,2,0
Female,White,33,Bachelors,5.3,62.1,52.3,4.2,Urban,53.7,83222,1,0
Female,White,48,High School,2.0,47.4,16.1,1.2,Suburban,48.2,74574,1,0
Male,Black,54,Masters,10.3,55.7,55.9,1.1,Urban,100.0,100899,1,1
Male,White,30,Bachelors,6.8,66.5,63.1,2.2,Suburban,94.7,87893,1,1
Male,White,27,High School,0.9,63.7,28.3,1.0,Urban,95.5,75170,2,0
Female,Black,35,High School,0.4,49.8,66.0,1.6,Rural,27.9,65012,2,0
Female,White,34,Masters,0.6,30.8,37.9,3.4,Rural,100.0,59117,1,0
Male,White,35,Masters,2.4,68.4,56.7,1.2,Urban,46.7,85781,3,0
Male,Asian,38,PhD,16.4,60.8,87.9,1.2,Suburban,71.1,104778,3,1
Female,Black,48,High School,3.1,46.6,49.8,1.0,Urban,38.5,76707,3,0
Male,Asian,32,High School,14.2,49.6,62.7,2.8,Urban,68.6,98143,3,1
Male,White,49,Bachelors,0.0,60.9,41.9,5.0,Rural,57.8,75132,2,0
Male,Hispanic,23,Masters,1.6,83.1,78.3,1.9,Urban,74.3,80304,3,0
Male,Black,39,High School,9.5,52.2,39.0,5.0,Suburban,50.5,82854,4,0
Male,White,42,Bachelors,2.9,89.1,22.1,4.4,Suburban,100.0,94466,1,1
Female,Hispanic,44,Bachelors,0.1,46.4,43.3,1.9,Rural,52.9,65237,3,0
Female,Hispanic,40,PhD,5.4,80.9,80.0,2.3,Rural,32.5,92633,3,0
Male,Black,27,High School,7.4,30.8,46.8,2.1,Urban,41.5,77976,1,0
Male,Black,31,High School,9.0,3.0,35.1,1.4,Urban,91.8,64567,1,0
Male,Asian,42,Masters,8.3,69.9,28.7,2.0,Urban,96.1,88270,3,1
Male,Black,26,PhD,2.4,71.5,36.8,4.1,Urban,86.8,74346,1,0
Female,White,38,PhD,2.0,79.8,32.8,1.6,Suburban,17.1,86371,3,0
Male,Black,31,Bachelors,9.0,19.7,44.5,1.0,Rural,26.5,77629,3,0
Male,White,58,Masters,0.8,88.5,46.3,1.1,Suburban,37.2,90989,1,0
Male,Hispanic,23,Bachelors,0.9,92.8,0.0,1.1,Rural,67.9,82310,3,0
Male,Hispanic,46,Masters,0.4,79.1,59.3,1.0,Urban,45.3,79495,3,0
Female,Asian,31,High School,1.1,72.6,21.8,3.3,Rural,45.2,71638,3,0
Female,White,55,Bachelors,8.0,48.0,8.8,3.3,Rural,61.4,77964,1,0
Female,White,41,Masters,4.2,85.5,52.3,2.4,Suburban,22.7,92325,1,0
Male,Hispanic,40,Masters,3.8,49.6,65.8,1.8,Suburban,83.5,72939,4,0
Female,Asian,37,PhD,3.5,100.0,67.7,3.0,Urban,67.4,87394,3,0
Female,Hispanic,23,High School,0.9,72.3,98.5,1.7,Urban,42.5,82259,4,0
Female,Hispanic,32,PhD,6.1,45.8,48.7,1.0,Urban,30.2,74027,4,0
Female,White,49,Masters,14.0,100.0,83.2,4.7,Suburban,71.3,118320,2,1
Male,White,41,Bachelors,1.6,96.8,34.3,2.3,Urban,58.0,91921,3,0
Male,White,30,Masters,1.6,43.1,63.8,2.0,Rural,55.5,69076,3,0
Male,White,26,Masters,1.0,100.0,41.1,3.5,Urban,98.5,87795,1,1
Male,Hispanic,23,Bachelors,3.1,94.4,40.4,1.0,Suburban,38.2,90544,3,0
Female,Black,38,Bachelors,1.2,36.9,63.0,1.6,Rural,57.0,70687,1,0
Male,White,36,Masters,7.5,100.0,60.6,1.2,Urban,72.4,105236,1,1
Male,Asian,22,Masters,1.4,64.8,37.0,3.9,Rural,100.0,89689,3,1
Male,Hispanic,44,Masters,2.8,70.2,54.5,1.0,Urban,76.7,81959,3,0
Male,Asian,22,PhD,4.7,98.6,68.9,4.3,Rural,16.5,91610,4,1
Male,Hispanic,43,Bachelors,5.6,77.6,6.2,1.2,Urban,94.5,81719,3,0
Male,White,36,Bachelors,1.6,90.7,78.7,2.3,Rural,54.2,84378,1,1
Female,White,29,Masters,4.0,69.2,68.4,2.7,Urban,26.7,78945,1,0
Male,Hispanic,28,High School,7.3,95.0,43.6,2.6,Suburban,69.0,94774,4,1
Female,White,22,Bachelors,9.7,18.0,89.5,4.3,Urban,96.3,77427,1,1
Female,Asian,24,Masters,3.5,56.8,73.1,5.0,Suburban,66.3,62204,4,0
Female,Asian,22,Bachelors,1.4,47.6,67.5,2.7,Suburban,88.0,79148,4,0
Female,Asian,37,Masters,5.2,97.0,19.8,2.4,Suburban,37.1,88587,3,0
Male,Black,36,Bachelors,2.3,62.8,44.3,4.2,Urban,24.1,78222,1,0
Male,White,28,High School,1.3,87.8,96.0,2.0,Urban,70.0,93573,1,1
Female,Asian,32,Masters,3.9,94.3,46.6,1.7,Suburban,85.0,81640,3,0
Female,White,39,High School,4.1,22.1,40.6,1.9,Urban,41.2,68232,2,0
Female,Asian,47,Masters,9.1,61.2,84.1,1.8,Rural,64.6,94356,3,0
Male,White,29,Masters,2.0,84.4,61.4,2.3,Rural,81.0,92196,3,1
Male,Asian,34,Masters,4.2,42.3,53.2,4.1,Urban,76.4,77979,4,1
Male,Black,43,Masters,2.9,89.1,61.6,3.7,Rural,79.6,85075,1,0
Male,Black,30,High School,7.6,67.7,55.1,1.4,Suburban,100.0,95850,2,1
Female,Hispanic,57,Masters,4.4,62.8,33.0,2.5,Suburban,42.6,77548,4,0
