Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,Communication_Score,University_Prestige,Location,Interview_Score,Salary_Expectation,Name_Complexity,Hiring_Decision
Female,Hispanic,50,Masters,3.5,100.0,16.3,1.9,Rural,60.5,85540,3,0
Female,Asian,22,High School,1.0,70.3,59.7,3.9,Suburban,61.0,57866,3,0
Female,Black,31,High School,12.7,63.7,55.3,1.6,Urban,8.9,98297,2,0
Male,Asian,30,Bachelors,15.2,72.2,71.2,3.2,Urban,36.5,107594,3,1
Male,White,22,Bachelors,8.0,86.2,34.7,2.0,Urban,35.1,97791,1,0
Female,Hispanic,28,Masters,1.2,54.9,34.0,5.0,Urban,54.9,84418,3,0
Male,Asian,31,Bachelors,7.8,64.3,26.2,1.1,Suburban,27.5,88409,3,0
Female,White,22,High School,5.7,41.6,35.5,2.3,Suburban,75.1,75122,1,0
Male,White,41,High School,1.6,44.8,80.5,2.5,Urban,41.2,71738,4,0
Male,Hispanic,26,High School,2.7,79.3,43.0,3.3,Suburban,45.7,84007,3,0
Male,Hispanic,35,Masters,0.2,26.0,54.5,2.9,Rural,14.8,62993,3,0
Female,Black,22,Masters,7.4,63.9,63.8,2.0,Suburban,55.4,90351,4,0
Female,Hispanic,29,High School,10.8,59.5,51.5,4.9,Suburban,33.0,88302,3,0
Male,Hispanic,53,PhD,1.5,88.1,79.2,2.1,Urban,100.0,74651,3,1
Female,Black,38,High School,7.3,98.6,23.4,1.0,Urban,38.8,88196,1,0
Male,White,44,High School,9.9,67.3,17.8,2.1,Suburban,65.3,102414,1,1
Female,Hispanic,32,High School,15.6,52.2,52.4,4.7,Urban,22.7,102100,3,0
Male,White,26,Masters,18.4,92.0,27.6,5.0,Urban,52.8,123600,2,1
Female,Asian,48,High School,2.6,38.5,0.0,1.0,Urban,34.2,66817,4,0
Female,Hispanic,44,High School,2.5,73.6,81.9,3.8,Urban,18.1,82066,3,0
Female,Asian,44,PhD,16.3,100.0,54.4,4.1,Suburban,43.3,123955,3,1
Male,White,39,PhD,7.7,65.1,39.6,1.5,Suburban,58.7,89779,2,1
Female,White,44,Bachelors,7.4,60.4,59.1,1.2,Suburban,69.0,93217,1,0
Female,Hispanic,41,Bachelors,3.0,99.5,43.6,2.8,Urban,22.2,86519,3,0
Male,White,45,Bachelors,11.8,74.9,45.4,3.3,Urban,47.6,109219,1,1
Male,Black,32,Bachelors,10.1,67.8,3.4,1.5,Suburban,87.9,93407,2,0
Male,White,33,Bachelors,10.1,41.3,23.3,1.0,Suburban,50.6,92465,1,0
Male,Black,22,Bachelors,2.0,49.0,50.7,2.0,Rural,64.6,71661,1,0
Female,Hispanic,44,Bachelors,7.7,78.7,65.3,2.1,Suburban,8.4,93667,3,0
Female,White,25,Bachelors,9.0,47.6,43.3,2.1,Suburban,17.7,82950,1,0
Male,White,34,Bachelors,0.8,64.1,85.4,2.1,Suburban,100.0,80538,1,1
Female,White,48,Masters,1.6,22.3,19.8,2.3,Rural,83.8,64070,2,0
Female,White,34,Bachelors,8.0,95.9,14.6,1.5,Urban,69.0,103200,1,1
Male,Asian,30,High School,0.3,59.3,8.2,1.6,Urban,55.6,74921,3,0
Male,White,36,High School,17.0,50.9,25.6,5.0,Urban,51.6,110665,3,1
Male,Hispanic,42,Bachelors,2.2,30.0,34.9,3.6,Urban,31.8,68914,3,0
Female,Black,34,Masters,6.6,37.3,61.9,2.4,Urban,74.5,76826,1,0
Male,Black,37,Bachelors,2.5,24.9,0.0,1.0,Suburban,9.4,67809,1,0
Male,White,37,Masters,4.2,68.5,27.7,2.1,Urban,52.1,80835,1,0
Male,Hispanic,36,Bachelors,1.1,34.1,34.2,3.4,Urban,20.4,57874,4,0
Male,White,22,Bachelors,25.0,25.3,70.8,1.0,Urban,98.8,112106,4,1
Male,White,38,High School,12.7,62.4,34.9,1.2,Urban,81.5,98835,1,1
