Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,Communication_Score,University_Prestige,Location,Interview_Score,Salary_Expectation,Name_Complexity,Hiring_Decision
Female,Hispanic,65,PhD,7.8,41.5,48.8,1.0,Urban,80.9,76227,3,0
Female,Hispanic,40,Masters,0.0,83.7,53.9,2.4,Urban,73.7,80304,4,0
Male,White,65,Bachelors,1.7,71.7,83.3,1.5,Urban,63.1,89314,3,1
Female,White,63,High School,6.9,67.9,33.3,3.0,Urban,44.7,84886,1,0
Male,White,40,Masters,1.8,97.1,73.9,3.4,Rural,78.8,83022,4,1
Female,Black,22,Bachelors,5.8,28.6,48.8,1.0,Urban,29.7,71225,1,0
Female,White,39,Masters,0.9,75.3,88.3,1.1,Urban,60.1,72858,1,0
Female,White,22,Bachelors,1.0,77.4,23.2,2.4,Urban,80.4,74407,1,0
Male,White,59,Bachelors,1.7,58.6,62.0,3.6,Urban,61.3,87020,2,0
Male,White,49,Masters,25.0,83.8,84.9,1.0,Urban,92.0,138393,4,1
Female,White,46,Bachelors,25.0,65.7,32.5,4.5,Urban,42.3,128191,1,1
Female,White,35,Masters,1.2,54.4,63.4,1.4,Urban,51.7,63464,3,0
Female,White,50,Bachelors,1.4,51.0,86.7,1.5,Rural,39.5,67856,1,0
Male,Asian,22,Masters,0.8,81.8,51.0,2.3,Suburban,100.0,85057,4,1
Male,Black,37,Bachelors,2.2,72.4,39.9,1.3,Urban,51.2,75446,1,0
Male,White,55,Bachelors,13.0,65.5,56.0,1.9,Urban,92.0,101453,4,1
Female,White,32,PhD,4.4,46.0,10.0,2.2,Urban,30.2,74872,2,0
Male,White,37,Masters,16.2,92.9,49.0,3.3,Urban,67.7,116768,2,1
Male,Hispanic,22,Masters,1.9,69.2,1.8,3.9,Rural,51.3,81293,4,0
Female,Asian,54,PhD,0.8,51.3,72.3,1.4,Urban,59.4,62506,3,0
Male,White,65,Bachelors,4.1,91.1,91.4,5.0,Urban,84.4,88408,1,1
Male,White,27,High School,1.3,56.1,48.2,4.2,Rural,80.7,75171,2,1
Male,Black,63,Bachelors,3.5,69.8,56.1,1.0,Urban,28.6,79429,1,0
Male,White,36,Bachelors,0.7,73.4,6.8,1.3,Urban,48.6,80140,4,0
Female,White,51,Masters,2.3,82.4,52.8,1.0,Urban,76.5,81393,1,0
Female,White,32,High School,3.0,77.7,73.5,3.1,Suburban,44.2,79039,2,0
Female,Hispanic,42,Bachelors,9.8,64.0,33.7,1.0,Suburban,23.5,94222,3,0
Male,Hispanic,65,PhD,1.3,32.8,26.2,2.1,Suburban,46.9,63477,3,0
Male,White,27,Bachelors,9.6,80.8,92.9,1.5,Suburban,87.7,100960,1,1
Male,Hispanic,43,Bachelors,1.5,71.0,46.1,2.7,Rural,51.4,74501,3,0
Male,Black,53,PhD,2.6,79.4,81.7,2.0,Suburban,11.5,85673,2,0
Male,Hispanic,30,Masters,2.4,56.9,54.6,1.0,Urban,38.9,77872,4,0
Male,White,22,High School,8.1,71.1,49.3,1.4,Urban,65.6,93610,1,0
Male,Black,42,Bachelors,4.9,40.0,65.5,4.0,Suburban,24.8,73051,2,0
Female,White,45,PhD,1.3,73.7,65.2,4.4,Urban,56.3,83122,1,0
Female,White,44,Bachelors,6.4,51.5,30.1,1.5,Urban,96.7,88230,4,0
Male,Hispanic,34,Bachelors,0.0,48.5,91.2,1.0,Rural,51.5,67596,3,0
Female,White,39,Bachelors,9.0,34.5,50.0,2.1,Urban,36.7,74134,2,0
Male,Asian,31,PhD,0.5,78.9,78.3,2.1,Urban,0.0,84721,4,0
Male,Hispanic,64,Masters,1.0,87.3,7.7,2.8,Urban,54.6,80049,4,0
Female,White,58,Bachelors,1.1,74.4,18.2,2.2,Urban,64.2,78942,2,0
Female,White,47,PhD,6.6,95.5,78.7,1.0,Rural,51.1,95364,1,0
Female,White,38,High School,1.0,46.9,64.8,1.4,Rural,65.1,66358,3,0
Male,Hispanic,34,Masters,5.6,78.7,49.1,1.8,Urban,43.2,87973,3,0
Female,Hispanic,65,Bachelors,2.3,53.6,49.3,1.1,Suburban,0.0,77854,3,0
Female,Hispanic,22,High School,12.3,33.1,28.8,1.0,Suburban,38.3,84871,3,0
Female,Hispanic,63,High School,9.6,57.6,62.1,1.7,Urban,74.8,92557,3,0
Female,White,63,Bachelors,11.5,34.9,75.1,3.1,Rural,85.0,91347,2,1
Female,White,22,PhD,6.4,78.3,16.7,1.0,Rural,82.0,91509,1,1
Female,Asian,22,High School,2.3,37.1,12.8,3.5,Rural,75.9,74285,3,0
Male,Hispanic,39,Masters,8.5,86.3,39.6,1.3,Rural,46.6,93919,4,0
Male,Black,43,Bachelors,1.9,77.8,23.5,3.5,Suburban,88.4,82098,2,0
Female,White,34,High School,1.3,45.7,79.9,1.0,Urban,34.7,67924,1,0
Male,Black,47,Bachelors,0.4,48.9,100.0,1.8,Suburban,57.4,70425,2,0
Female,Black,39,Masters,5.0,56.6,29.8,5.0,Rural,14.1,77715,1,0
Male,White,26,Bachelors,8.8,63.3,55.3,1.8,Urban,32.4,90273,3,1
Male,White,27,Masters,6.6,99.5,56.0,4.3,Urban,53.6,111942,2,1
Male,Black,26,Masters,10.8,73.3,40.2,3.4,Urban,77.3,102132,3,1
Male,Black,55,High School,3.1,59.0,77.6,1.0,Rural,4.0,74649,3,0
Female,Hispanic,45,High School,6.3,73.9,54.2,1.2,Urban,36.6,78237,4,0
Male,White,42,PhD,25.0,65.2,28.0,1.8,Rural,50.2,134193,1,1
