Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,Communication_Score,University_Prestige,Location,Interview_Score,Salary_Expectation,Name_Complexity,Hiring_Decision
Female,White,41,Bachelors,0.9,58.2,40.3,1.5,Urban,51.8,74456,1,0
Male,White,31,High School,1.6,28.1,42.7,2.4,Rural,56.2,73555,1,0
Female,White,22,Bachelors,13.5,73.2,63.2,3.5,Urban,51.2,111231,1,1
Female,White,34,Bachelors,0.4,80.5,56.8,3.5,Urban,39.0,67404,3,0
Female,Asian,42,High School,6.1,71.1,29.0,1.1,Urban,61.1,77253,3,0
Male,Black,22,Bachelors,1.5,55.6,62.0,1.0,Rural,29.5,70936,2,0
Female,White,24,Bachelors,1.5,73.1,66.3,4.7,Suburban,74.0,77969,1,0
Male,Hispanic,34,PhD,2.3,80.5,100.0,2.1,Suburban,30.1,82169,3,0
Female,Asian,39,Bachelors,3.9,73.0,35.3,1.5,Suburban,77.3,82117,3,0
Female,Black,46,High School,4.8,18.9,35.8,3.0,Rural,15.6,61888,1,0
Male,Hispanic,46,PhD,6.2,32.6,46.7,1.3,Suburban,79.0,71217,4,0
Female,White,31,PhD,0.1,65.1,76.3,1.8,Urban,50.1,70796,1,0
Male,Black,24,Masters,2.4,41.6,8.1,2.2,Urban,21.2,65193,3,0
Male,Asian,55,Bachelors,8.7,74.3,52.5,4.3,Urban,100.0,77529,3,1
Female,Asian,40,Bachelors,0.3,51.9,33.8,3.1,Urban,30.6,62129,3,0
Female,Black,41,Bachelors,3.2,45.9,38.1,1.0,Suburban,28.0,69588,1,0
Male,White,26,Bachelors,4.2,63.6,69.7,3.5,Urban,31.5,81118,2,1
Male,Hispanic,22,Bachelors,25.0,52.8,47.6,1.0,Urban,21.8,118952,3,1
Male,Hispanic,29,Masters,4.6,85.4,52.5,1.9,Urban,42.1,79987,3,0
Male,Asian,22,Bachelors,9.2,35.6,15.5,1.0,Rural,82.6,86608,3,0
Female,White,33,High School,3.2,66.2,67.2,2.3,Rural,50.3,71917,1,0
Female,Black,22,Bachelors,2.8,55.8,31.2,1.1,Urban,43.4,66293,1,0
Male,Hispanic,30,Masters,0.2,78.3,56.1,1.0,Urban,14.0,74547,3,0
Male,White,44,High School,8.3,76.6,99.2,3.1,Urban,84.8,90643,1,1
Male,Asian,40,Bachelors,3.5,63.5,65.9,4.3,Urban,77.2,75867,3,1
Male,Asian,52,High School,10.7,65.7,28.6,1.9,Urban,57.4,106364,4,1
Female,Asian,23,Bachelors,1.6,63.2,61.6,2.5,Rural,35.5,72181,3,0
Female,White,39,PhD,10.6,100.0,80.5,2.3,Urban,55.9,104118,3,1
Female,White,46,High School,0.2,15.7,75.1,2.3,Urban,92.9,52376,1,0
Female,Hispanic,46,Bachelors,1.0,76.0,29.4,1.8,Rural,54.2,86284,3,0
Male,Asian,33,Masters,1.7,95.8,30.5,2.9,Suburban,82.0,85719,3,1
Male,Black,22,High School,2.1,83.4,51.3,5.0,Urban,26.1,90098,1,0
Male,Hispanic,32,Masters,3.7,100.0,51.8,4.8,Suburban,65.0,92363,4,1
Female,White,50,Bachelors,7.4,79.5,31.2,4.3,Urban,53.0,93839,3,1
Male,White,40,Masters,8.3,35.8,42.5,2.3,Suburban,85.6,81054,2,1
Female,Hispanic,52,High School,7.9,57.2,69.6,1.0,Urban,55.5,79061,4,0
Female,White,45,Masters,6.6,36.7,70.1,4.7,Rural,58.4,80116,1,0
Male,Asian,25,Bachelors,3.8,77.3,13.1,3.8,Urban,51.3,79247,3,1
Male,Asian,26,Bachelors,7.2,53.8,16.9,2.4,Rural,76.0,81473,3,0
Male,White,36,High School,3.1,62.4,38.1,3.4,Suburban,66.9,82462,1,1
Female,Black,22,Masters,4.0,67.9,71.7,1.0,Urban,54.6,76475,2,0
Male,White,44,High School,6.5,40.4,52.7,3.4,Suburban,46.8,87971,1,1
Male,Asian,51,Masters,5.3,40.1,28.0,3.9,Rural,100.0,73616,3,1
Female,White,49,PhD,7.0,53.2,72.6,2.3,Suburban,89.3,81020,1,0
Male,White,22,High School,15.2,60.2,54.9,2.1,Rural,89.5,105989,2,1
Female,Hispanic,51,Bachelors,6.2,49.4,15.5,4.8,Urban,56.7,84023,4,0
Male,White,33,Bachelors,25.0,62.2,42.8,4.2,Urban,49.7,122725,1,1
Male,Hispanic,28,Masters,7.7,77.0,32.6,1.0,Urban,61.4,97786,3,0
Male,White,35,Masters,0.9,94.6,44.4,4.2,Suburban,91.4,94059,1,1
Male,Asian,30,Masters,12.0,61.8,64.8,1.8,Suburban,100.0,88793,3,1
