Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,Communication_Score,University_Prestige,Location,Interview_Score,Salary_Expectation,Name_Complexity,Hiring_Decision
Female,White,32,Bachelors,3.6,81.1,17.2,2.3,Urban,64.3,87539,1,0
Male,Hispanic,26,PhD,0.7,60.9,1.8,1.8,Suburban,64.9,66805,4,0
Male,White,29,Bachelors,0.9,80.6,42.8,5.0,Urban,27.5,89417,4,0
Female,White,53,High School,11.0,98.6,74.9,1.2,Urban,40.9,119013,2,1
Female,White,29,Masters,3.3,51.1,50.3,2.7,Suburban,25.0,76801,4,0
Male,Black,27,Bachelors,1.7,75.5,30.5,2.0,Suburban,73.2,79151,2,0
Male,Asian,23,Masters,10.3,38.2,52.5,1.2,Suburban,53.1,77294,3,0
Female,Asian,48,High School,4.1,83.0,82.3,3.8,Suburban,77.7,88850,4,1
Female,Black,48,High School,0.3,72.9,10.2,1.9,Suburban,18.9,68670,1,0
Female,White,29,High School,13.2,11.5,51.4,2.3,Rural,72.9,75494,4,0
Female,White,38,Masters,3.5,83.6,46.4,1.3,Suburban,63.9,74056,2,0
Female,White,46,High School,10.1,30.7,61.8,1.0,Suburban,62.0,80671,1,0
Female,White,26,Masters,5.8,41.8,5.4,4.4,Suburban,69.7,76165,1,0
Male,White,32,Masters,1.2,93.1,89.2,1.4,Suburban,81.9,89403,1,1
Male,Black,29,Bachelors,0.0,86.5,46.8,4.2,Urban,64.3,80012,1,0
Male,White,33,Bachelors,1.1,91.6,13.7,1.1,Urban,28.8,81212,1,0
Female,Asian,26,Masters,10.1,71.0,31.0,4.4,Rural,75.5,91237,3,0
Female,White,34,High School,0.8,72.7,62.8,4.0,Urban,53.2,77313,1,0
Male,Black,32,High School,17.8,74.5,30.8,3.4,Urban,84.9,106485,2,1
Female,White,35,High School,0.4,71.4,85.2,3.3,Urban,83.4,78875,2,0
Female,Hispanic,56,Bachelors,0.0,100.0,63.2,1.3,Rural,77.6,74172,3,0
Female,Asian,22,High School,11.6,90.7,49.9,2.0,Rural,79.0,100778,4,1
Female,Hispanic,22,High School,0.8,72.2,65.6,2.1,Suburban,2.0,72742,3,0
Female,Black,35,Bachelors,0.2,81.5,79.8,4.0,Urban,31.2,80527,2,0
Female,Hispanic,33,PhD,10.9,95.1,56.6,3.0,Rural,3.8,101470,3,0
Male,Hispanic,27,Bachelors,0.1,27.5,28.7,2.5,Urban,71.3,66756,3,0
Female,White,25,Masters,2.0,100.0,18.1,1.3,Urban,24.4,83547,1,0
Male,Asian,24,PhD,3.1,75.4,26.5,1.4,Suburban,55.6,85192,3,0
Female,White,44,PhD,2.4,90.8,55.5,1.1,Urban,67.5,79811,2,0
Male,White,31,Bachelors,3.0,95.7,74.7,3.0,Urban,86.7,96295,2,1
Male,Asian,30,Bachelors,0.4,92.0,11.6,3.2,Urban,76.3,89885,3,1
Female,White,28,PhD,8.0,91.5,43.2,4.5,Urban,49.3,98239,1,1
Male,Asian,32,Bachelors,6.8,53.1,0.0,1.0,Urban,58.2,80248,3,0
