Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,Communication_Score,University_Prestige,Location,Interview_Score,Salary_Expectation,Name_Complexity,Hiring_Decision
Female,Hispanic,28,Bachelors,5.5,76.8,0.0,4.5,Urban,42.3,87661,3,0
Male,White,43,High School,8.5,23.4,57.2,1.6,Urban,75.0,81525,4,0
Female,Black,27,Masters,1.6,70.4,51.6,1.8,Urban,34.2,63283,4,0
Male,Hispanic,22,High School,4.1,52.1,47.8,1.0,Suburban,48.9,82095,3,0
Male,Hispanic,47,Masters,1.3,79.1,85.8,2.1,Urban,55.0,78541,3,0
Female,White,34,Bachelors,3.4,21.1,48.3,1.0,Rural,57.4,76235,1,0
Male,White,22,Masters,1.3,27.6,93.0,3.3,Suburban,59.8,64982,1,0
Male,Hispanic,42,Masters,8.9,49.3,44.2,1.7,Urban,91.2,94591,3,0
Female,Black,40,Masters,0.4,70.8,32.0,1.0,Urban,66.9,77840,3,0
Male,Asian,53,High School,2.9,37.7,65.9,5.0,Suburban,57.0,68798,4,0
Female,Black,22,Bachelors,4.2,40.9,62.4,2.4,Rural,36.4,69950,1,0
Male,White,28,PhD,8.4,70.3,49.1,1.2,Suburban,98.2,93746,2,1
Female,Hispanic,38,Masters,17.0,97.6,59.9,3.3,Urban,72.1,113076,4,1
Female,White,49,Bachelors,1.9,65.2,68.0,1.9,Urban,51.1,71816,1,0
Female,Hispanic,50,Masters,8.6,68.1,16.6,1.0,Urban,95.1,99259,4,0
Male,White,44,Masters,4.4,60.4,72.9,1.1,Suburban,32.4,79778,2,0
Male,White,27,Masters,1.3,75.2,93.5,1.5,Urban,86.8,87503,1,1
Female,White,28,Bachelors,0.3,57.4,86.5,3.0,Rural,76.9,63629,1,0
Male,Black,38,High School,8.5,35.6,53.6,1.0,Urban,65.4,86895,2,0
Female,White,22,Masters,6.9,75.1,13.4,1.0,Suburban,0.0,91367,2,0
Male,Hispanic,51,Bachelors,4.2,50.9,55.1,1.0,Rural,57.6,84252,4,0
Male,Asian,41,Masters,5.2,78.2,11.8,4.3,Urban,44.9,87007,3,0
Male,White,52,High School,4.4,73.1,48.2,1.6,Urban,41.8,88868,1,0
Female,Hispanic,25,Bachelors,8.2,77.3,39.3,1.9,Urban,47.0,89825,3,0
Female,White,26,High School,3.2,45.2,62.1,4.7,Rural,32.3,66244,2,0
Male,Asian,50,Bachelors,17.8,72.0,61.1,1.7,Urban,84.6,109671,3,1
Male,White,32,High School,6.8,56.0,78.4,3.1,Suburban,76.2,87323,1,1
Female,White,42,Bachelors,9.5,68.6,53.4,5.0,Suburban,80.2,91506,2,1
Male,White,22,PhD,3.8,84.7,60.9,2.1,Urban,76.6,90670,1,1
Male,White,30,Bachelors,2.0,96.6,21.4,1.0,Suburban,40.3,91835,2,0
