Gender,Race,Age,Education_Level,Experience_Years,Technical_Skills,Communication_Score,University_Prestige,Location,Interview_Score,Salary_Expectation,Name_Complexity,Hiring_Decision
Female,Asian,23,Bachelors,13.1,44.6,29.7,2.9,Suburban,74.5,81582,3,0
Female,Black,24,Bachelors,8.6,57.7,46.7,1.8,Urban,50.8,78250,1,0
Male,White,45,Bachelors,0.7,45.4,86.7,2.5,Suburban,78.0,78904,3,0
Female,White,30,High School,2.7,35.9,46.6,2.7,Rural,90.1,69018,1,0
Female,Black,25,High School,0.3,64.5,38.6,4.2,Rural,69.1,69836,2,0
Male,White,34,Bachelors,2.2,95.4,49.2,2.7,Suburban,33.5,88839,3,0
Male,Hispanic,58,Bachelors,2.7,61.0,22.5,1.7,Urban,32.5,77361,3,0
Female,Black,48,Masters,2.6,73.1,53.4,1.7,Urban,61.8,71311,4,0
Male,Hispanic,22,High School,0.7,74.2,69.8,2.8,Rural,43.7,84202,3,0
Male,Black,22,Masters,14.2,48.8,77.8,1.9,Urban,78.5,103707,1,1
Male,White,37,Masters,2.0,78.2,93.4,4.6,Suburban,89.5,86883,3,1
Female,White,25,Bachelors,3.3,64.7,59.1,2.0,Urban,50.3,83132,2,0
Female,Asian,35,High School,0.8,42.2,49.6,1.2,Suburban,69.1,72401,3,0
Female,Asian,45,Bachelors,3.6,53.5,20.6,1.4,Urban,68.7,77630,3,0
Female,Black,22,Masters,4.2,100.0,57.4,1.4,Urban,84.7,80172,1,0
Female,White,22,High School,1.6,52.8,45.6,1.0,Urban,56.0,69976,1,0
Female,Hispanic,40,Masters,6.9,57.5,37.4,1.0,Urban,53.2,81978,4,0
Female,Asian,23,High School,6.5,56.4,37.3,1.3,Suburban,31.3,73942,3,0
Female,White,48,Bachelors,1.2,82.8,58.2,1.6,Urban,58.6,84926,2,0
Female,White,47,High School,0.6,49.5,47.9,1.1,Urban,28.8,65432,2,0
Male,White,28,Bachelors,0.8,73.4,22.9,4.3,Urban,72.6,84439,2,1
Female,White,25,Bachelors,1.6,54.5,36.0,1.0,Rural,41.4,68476,2,0
Male,Hispanic,36,Bachelors,17.4,100.0,69.9,2.6,Urban,38.9,121606,3,1
Female,White,43,Bachelors,20.1,59.1,34.7,4.0,Rural,82.3,102611,2,1
Female,White,28,Bachelors,4.9,94.3,77.1,1.4,Urban,66.0,87848,3,1
